# Planck 2018 lensed scalar CMB, D_ell = l(l+1)C_l/2pi in muK^2.
# Lensing BB only -- scalars, r = 0, no primordial B modes.
# Planck 2018 VI Table 2, TT,TE,EE+lowE+lensing (marginalised means):
#   H0=67.36 ombh2=0.02237 omch2=0.12 tau=0.0544
#   As=2.1e-09 ns=0.9649 mnu=0.06 omk=0
# CAMB 1.6.5, lens_potential_accuracy=4.
# columns: ell  D_TT  D_EE  D_BB  D_TE
     228     5.71357E+03     1.11950E+00     1.87457E-02     2.65822E+01
     229     5.70844E+03     1.15662E+00     1.89185E-02     2.82522E+01
     230     5.70270E+03     1.19557E+00     1.90916E-02     2.99276E+01
     231     5.69634E+03     1.23635E+00     1.92651E-02     3.16077E+01
     232     5.68937E+03     1.27902E+00     1.94388E-02     3.32917E+01
     233     5.68179E+03     1.32358E+00     1.96129E-02     3.49789E+01
     234     5.67359E+03     1.37008E+00     1.97872E-02     3.66686E+01
     235     5.66480E+03     1.41853E+00     1.99618E-02     3.83602E+01
     236     5.65539E+03     1.46897E+00     2.01366E-02     4.00529E+01
     237     5.64539E+03     1.52140E+00     2.03116E-02     4.17459E+01
     238     5.63480E+03     1.57585E+00     2.04868E-02     4.34385E+01
     239     5.62361E+03     1.63234E+00     2.06622E-02     4.51301E+01
     240     5.61183E+03     1.69089E+00     2.08377E-02     4.68197E+01
     241     5.59946E+03     1.75154E+00     2.10133E-02     4.85068E+01
     242     5.58651E+03     1.81429E+00     2.11890E-02     5.01906E+01
     243     5.57299E+03     1.87916E+00     2.13648E-02     5.18702E+01
     244     5.55889E+03     1.94617E+00     2.15407E-02     5.35451E+01
     245     5.54423E+03     2.01533E+00     2.17166E-02     5.52145E+01
     246     5.52901E+03     2.08666E+00     2.18925E-02     5.68778E+01
     247     5.51324E+03     2.16017E+00     2.20684E-02     5.85340E+01
     248     5.49692E+03     2.23589E+00     2.22443E-02     6.01826E+01
     249     5.48006E+03     2.31380E+00     2.24201E-02     6.18228E+01
     250     5.46266E+03     2.39395E+00     2.25958E-02     6.34539E+01
     251     5.44473E+03     2.47631E+00     2.27715E-02     6.50750E+01
     252     5.42627E+03     2.56091E+00     2.29470E-02     6.66853E+01
     253     5.40727E+03     2.64774E+00     2.31224E-02     6.82842E+01
     254     5.38776E+03     2.73682E+00     2.32977E-02     6.98707E+01
     255     5.36772E+03     2.82815E+00     2.34727E-02     7.14441E+01
     256     5.34716E+03     2.92173E+00     2.36476E-02     7.30036E+01
     257     5.32609E+03     3.01757E+00     2.38223E-02     7.45487E+01
     258     5.30453E+03     3.11566E+00     2.39967E-02     7.60783E+01
     259     5.28249E+03     3.21601E+00     2.41708E-02     7.75929E+01
     260     5.25997E+03     3.31861E+00     2.43447E-02     7.90903E+01
     261     5.23700E+03     3.42346E+00     2.45183E-02     8.05711E+01
     262     5.21359E+03     3.53057E+00     2.46916E-02     8.20340E+01
     263     5.18974E+03     3.63993E+00     2.48645E-02     8.34789E+01
     264     5.16546E+03     3.75153E+00     2.50371E-02     8.49043E+01
     265     5.14076E+03     3.86536E+00     2.52093E-02     8.63110E+01
     266     5.11564E+03     3.98142E+00     2.53812E-02     8.76968E+01
     267     5.09012E+03     4.09967E+00     2.55527E-02     8.90610E+01
     268     5.06419E+03     4.22013E+00     2.57237E-02     9.04042E+01
     269     5.03786E+03     4.34277E+00     2.58943E-02     9.17243E+01
     270     5.01113E+03     4.46758E+00     2.60645E-02     9.30221E+01
     271     4.98403E+03     4.59455E+00     2.62342E-02     9.42953E+01
     272     4.95655E+03     4.72365E+00     2.64035E-02     9.55446E+01
     273     4.92871E+03     4.85487E+00     2.65722E-02     9.67686E+01
     274     4.90052E+03     4.98819E+00     2.67405E-02     9.79680E+01
     275     4.87198E+03     5.12358E+00     2.69083E-02     9.91406E+01
     276     4.84313E+03     5.26103E+00     2.70755E-02     1.00287E+02
     277     4.81395E+03     5.40052E+00     2.72422E-02     1.01406E+02
     278     4.78445E+03     5.54202E+00     2.74084E-02     1.02497E+02
     279     4.75466E+03     5.68550E+00     2.75741E-02     1.03561E+02
     280     4.72458E+03     5.83092E+00     2.77391E-02     1.04595E+02
     281     4.69422E+03     5.97827E+00     2.79036E-02     1.05600E+02
     282     4.66359E+03     6.12751E+00     2.80675E-02     1.06576E+02
     283     4.63271E+03     6.27861E+00     2.82308E-02     1.07521E+02
     284     4.60157E+03     6.43154E+00     2.83936E-02     1.08436E+02
     285     4.57019E+03     6.58627E+00     2.85557E-02     1.09319E+02
     286     4.53857E+03     6.74276E+00     2.87172E-02     1.10171E+02
     287     4.50675E+03     6.90096E+00     2.88781E-02     1.10991E+02
     288     4.47472E+03     7.06086E+00     2.90383E-02     1.11777E+02
     289     4.44249E+03     7.22240E+00     2.91980E-02     1.12532E+02
     290     4.41007E+03     7.38554E+00     2.93570E-02     1.13253E+02
     291     4.37748E+03     7.55027E+00     2.95153E-02     1.13940E+02
     292     4.34472E+03     7.71646E+00     2.96730E-02     1.14594E+02
     293     4.31180E+03     7.88416E+00     2.98300E-02     1.15213E+02
     294     4.27874E+03     8.05332E+00     2.99864E-02     1.15797E+02
     295     4.24554E+03     8.22378E+00     3.01421E-02     1.16346E+02
     296     4.21220E+03     8.39562E+00     3.02971E-02     1.16860E+02
     297     4.17874E+03     8.56868E+00     3.04514E-02     1.17336E+02
     298     4.14517E+03     8.74297E+00     3.06051E-02     1.17777E+02
     299     4.11150E+03     8.91841E+00     3.07581E-02     1.18181E+02
     300     4.07774E+03     9.09494E+00     3.09104E-02     1.18548E+02
     301     4.04391E+03     9.27261E+00     3.10620E-02     1.18878E+02
     302     4.01001E+03     9.45121E+00     3.12129E-02     1.19172E+02
     303     3.97606E+03     9.63082E+00     3.13631E-02     1.19428E+02
     304     3.94207E+03     9.81136E+00     3.15126E-02     1.19648E+02
     305     3.90806E+03     9.99275E+00     3.16615E-02     1.19830E+02
     306     3.87401E+03     1.01750E+01     3.18096E-02     1.19975E+02
     307     3.83997E+03     1.03580E+01     3.19570E-02     1.20081E+02
     308     3.80593E+03     1.05416E+01     3.21037E-02     1.20150E+02
     309     3.77191E+03     1.07259E+01     3.22498E-02     1.20182E+02
     310     3.73789E+03     1.09107E+01     3.23951E-02     1.20176E+02
     311     3.70392E+03     1.10960E+01     3.25397E-02     1.20131E+02
     312     3.66998E+03     1.12818E+01     3.26836E-02     1.20048E+02
     313     3.63610E+03     1.14680E+01     3.28269E-02     1.19928E+02
     314     3.60228E+03     1.16544E+01     3.29694E-02     1.19768E+02
     315     3.56852E+03     1.18410E+01     3.31112E-02     1.19571E+02
     316     3.53485E+03     1.20279E+01     3.32524E-02     1.19335E+02
     317     3.50127E+03     1.22148E+01     3.33929E-02     1.19062E+02
     318     3.46780E+03     1.24018E+01     3.35327E-02     1.18750E+02
     319     3.43444E+03     1.25887E+01     3.36718E-02     1.18400E+02
     320     3.40119E+03     1.27756E+01     3.38102E-02     1.18013E+02
     321     3.36809E+03     1.29623E+01     3.39480E-02     1.17588E+02
     322     3.33511E+03     1.31488E+01     3.40851E-02     1.17125E+02
     323     3.30230E+03     1.33349E+01     3.42216E-02     1.16625E+02
     324     3.26963E+03     1.35206E+01     3.43574E-02     1.16088E+02
     325     3.23714E+03     1.37060E+01     3.44926E-02     1.15513E+02
     326     3.20483E+03     1.38908E+01     3.46272E-02     1.14902E+02
     327     3.17270E+03     1.40751E+01     3.47611E-02     1.14253E+02
     328     3.14077E+03     1.42586E+01     3.48945E-02     1.13567E+02
     329     3.10904E+03     1.44415E+01     3.50272E-02     1.12846E+02
     330     3.07753E+03     1.46235E+01     3.51594E-02     1.12089E+02
     331     3.04623E+03     1.48046E+01     3.52910E-02     1.11296E+02
     332     3.01517E+03     1.49849E+01     3.54220E-02     1.10466E+02
     333     2.98434E+03     1.51640E+01     3.55525E-02     1.09603E+02
     334     2.95376E+03     1.53422E+01     3.56824E-02     1.08704E+02
     335     2.92344E+03     1.55191E+01     3.58119E-02     1.07770E+02
     336     2.89338E+03     1.56948E+01     3.59408E-02     1.06803E+02
     337     2.86359E+03     1.58692E+01     3.60692E-02     1.05802E+02
     338     2.83407E+03     1.60423E+01     3.61972E-02     1.04767E+02
     339     2.80484E+03     1.62139E+01     3.63247E-02     1.03701E+02
     340     2.77592E+03     1.63841E+01     3.64518E-02     1.02602E+02
     341     2.74729E+03     1.65527E+01     3.65785E-02     1.01471E+02
     342     2.71896E+03     1.67196E+01     3.67047E-02     1.00308E+02
     343     2.69095E+03     1.68847E+01     3.68306E-02     9.91141E+01
     344     2.66325E+03     1.70481E+01     3.69561E-02     9.78888E+01
     345     2.63587E+03     1.72095E+01     3.70813E-02     9.66329E+01
     346     2.60881E+03     1.73689E+01     3.72061E-02     9.53462E+01
     347     2.58208E+03     1.75264E+01     3.73306E-02     9.40297E+01
     348     2.55569E+03     1.76815E+01     3.74549E-02     9.26831E+01
     349     2.52964E+03     1.78346E+01     3.75789E-02     9.13089E+01
     350     2.50394E+03     1.79855E+01     3.77026E-02     8.99062E+01
     351     2.47860E+03     1.81341E+01     3.78261E-02     8.84766E+01
     352     2.45363E+03     1.82804E+01     3.79494E-02     8.70207E+01
     353     2.42904E+03     1.84244E+01     3.80726E-02     8.55386E+01
     354     2.40482E+03     1.85660E+01     3.81955E-02     8.40326E+01
     355     2.38099E+03     1.87050E+01     3.83184E-02     8.25018E+01
     356     2.35754E+03     1.88415E+01     3.84411E-02     8.09470E+01
     357     2.33449E+03     1.89754E+01     3.85637E-02     7.93689E+01
     358     2.31184E+03     1.91067E+01     3.86863E-02     7.77684E+01
     359     2.28958E+03     1.92352E+01     3.88088E-02     7.61454E+01
     360     2.26773E+03     1.93608E+01     3.89313E-02     7.45014E+01
     361     2.24627E+03     1.94835E+01     3.90538E-02     7.28353E+01
     362     2.22523E+03     1.96033E+01     3.91763E-02     7.11491E+01
